folder,kept_files,corrupt_moved,duplicates_moved,total_size_mb
class_10/biology,43,0,0,18.94
class_10/chemistry,44,0,0,20.94
class_10/computer-science,26,0,0,14.62
class_10/english,50,0,0,29.25
class_10/islamiat,26,0,0,5.71
class_10/mathematics,46,0,0,29.2
class_10/pakistan-studies,15,0,0,3.03
class_10/physics,45,0,0,34.45
class_10/urdu,45,0,0,25.27
class_11/biology,43,0,0,17.71
class_11/chemistry,38,0,0,17.84
class_11/computer-science,30,0,0,10.36
class_11/english,38,0,0,16.76
class_11/islamiat,10,0,0,1.64
class_11/mathematics,41,0,0,18.82
class_11/physics,43,0,0,26.67
class_11/urdu,35,0,0,14.0
class_12/biology,41,0,0,16.95
class_12/chemistry,49,0,0,34.41
class_12/computer-science,43,0,0,17.66
class_12/english,49,0,0,37.63
class_12/islamiat,0,0,0,0.0
class_12/mathematics,38,0,0,24.01
class_12/pakistan-studies,25,0,0,4.0
class_12/physics,48,0,0,41.87
class_12/urdu,46,0,0,29.28
class_9/biology,41,0,0,10.32
class_9/chemistry,39,0,0,9.27
class_9/computer-science,27,0,0,5.49
class_9/english,30,0,0,9.79
class_9/islamiat,42,0,0,8.12
class_9/mathematics,46,0,0,12.87
class_9/pakistan-studies,49,0,0,10.05
class_9/physics,48,0,0,13.83
class_9/urdu,44,0,0,11.04
